# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
pgxl1;59;1444144639;-788.96;0.00;688.03
pgxl1;60;1444144699;-3265.96;0.00;3262.37
pgxl1;60;1444144759;-3949.93;0.00;2287.09
pgxl1;60;1444144819;-2795.13;0.00;3166.22
pgxl1;59;1444144879;-1300.42;0.00;2258.26
pgxl1;60;1444144939;-2802.37;0.00;508.47
pgxl1;60;1444144999;48.60;0.00;2187.06
pgxl1;60;1444145059;-312.12;0.00;311.98
pgxl1;60;1444145119;-268.42;0.00;268.45
pgxl1;60;1444145179;-4699.36;0.00;3685.83
pgxl1;60;1444145239;-4606.34;0.00;-6215.42
pgxl1;60;1444145299;-2272.52;0.00;3136.03
pgxl1;60;1444145359;4120.01;0.00;278.30
pgxl1;60;1444145419;-3949.30;0.00;6150.18
