# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
pgxl1;59;1444144639;16137540;202304;1.24;0;172292;10965520;23.17
pgxl1;60;1444144699;15354624;985220;6.03;0;954348;10945032;23.13
pgxl1;60;1444144759;14408536;1931308;11.82;0;1502152;11858028;25.06
pgxl1;60;1444144819;13738040;2601804;15.92;0;2261664;11550388;24.41
pgxl1;59;1444144879;13428748;2911096;17.82;0;2798768;11034380;23.31
pgxl1;60;1444144939;12757524;3582320;21.92;0;2920556;12488252;26.39
pgxl1;60;1444144999;12769140;3570704;21.85;0;3443264;11047980;23.34
pgxl1;60;1444145059;12694656;3645188;22.31;0;3517716;11047980;23.34
pgxl1;60;1444145119;12630612;3709232;22.70;0;3581768;11011780;23.27
pgxl1;60;1444145179;11511976;4827868;29.55;0;4459144;11638992;24.59
pgxl1;60;1444145239;10404612;5935232;36.32;0;2964956;16853056;35.61
pgxl1;60;1444145299;9859480;6480364;39.66;0;3717228;16433876;34.72
pgxl1;60;1444145359;10844492;5495352;33.63;0;3783764;14312500;30.24
pgxl1;60;1444145419;9892236;6447608;39.46;0;5266696;13179896;27.85
