# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
pgxl;59;1444145984;16238364;101480;0.62;0;74312;11146084;23.55
pgxl;59;1444146044;16260880;78964;0.48;0;60908;11665536;24.65
pgxl;59;1444146104;16264188;75656;0.46;0;55332;11005524;23.25
pgxl;59;1444146164;16257972;81872;0.50;0;59004;11606160;24.52
pgxl;59;1444146224;16265608;74236;0.45;0;56344;11610196;24.53
pgxl;59;1444146284;16269492;70352;0.43;0;53372;10957360;23.15
pgxl;59;1444146344;16264832;75012;0.46;0;57452;11003320;23.25
pgxl;59;1444146404;16271196;68648;0.42;0;52180;11094512;23.44
