# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
pgxl;59;1444145545;59998.71;30590.32;12135.38;16.57;30437.16;16007.72;4346.56;19606.48;96.33
pgxl;59;1444145605;62043.10;594.94;11753.71;30.19;20364.75;13788.33;1071.80;14268.56;96.02
pgxl;60;1444145665;121503.91;2238.75;16181.38;9.71;47060.45;24480.94;11561.90;35035.02;97.20
pgxl;59;1444145725;108743.29;24843.16;8365.08;26.23;41511.69;31107.22;1910.47;29453.27;89.20
pgxl;59;1444145785;87581.55;1202.03;10118.48;181.16;27513.92;16038.88;1594.13;16815.97;95.37
pgxl;59;1444145845;59699.95;1199.26;7490.47;121.18;20878.31;16686.34;1078.31;16840.09;94.80
pgxl;60;1444145905;90194.93;1587.72;12348.13;42.81;32246.33;22152.72;2493.78;23435.69;95.09
