ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,6765,10,pgxc,10.0.3.115,40796,2015-10-06 11:38:43.569173-04,,2015-10-06 11:38:43.568409-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-10-06 11:38:43.584604-04
946684800,6766,10,psql,10.0.3.115,40831,2015-10-06 11:38:44.775374-04,,2015-10-06 11:38:44.778271-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-10-06 11:38:44.778274-04
946684800,6767,10,psql,10.0.3.115,40833,2015-10-06 11:38:44.777489-04,,2015-10-06 11:38:44.790364-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",idle,2015-10-06 11:38:44.791995-04
946684800,6768,10,psql,10.0.3.115,40834,2015-10-06 11:38:44.778166-04,,2015-10-06 11:38:44.787692-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",idle,2015-10-06 11:38:44.79135-04
946684800,6769,10,psql,10.0.3.115,40837,2015-10-06 11:38:44.778952-04,,2015-10-06 11:38:44.790798-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-10-06 11:38:44.790801-04
946684800,6770,10,psql,10.0.3.115,40838,2015-10-06 11:38:44.780565-04,,2015-10-06 11:38:44.788902-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-10-06 11:38:44.788905-04
946684800,6775,10,pgxc,127.0.0.1,35168,2015-10-06 11:39:15.870076-04,2015-10-06 11:39:38.572548-04,2015-10-06 11:39:38.582494-04,f,Remote Subplan,active,2015-10-06 11:39:38.590374-04
946684800,6780,10,pgxc,127.0.0.1,35191,2015-10-06 11:39:18.33587-04,,2015-10-06 11:39:24.477282-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-10-06 11:39:26.979814-04
946684800,6783,10,pgxc,10.0.3.115,40964,2015-10-06 11:39:23.466133-04,2015-10-06 11:39:32.304984-04,2015-10-06 11:39:32.305254-04,f,COPY public.lineitem FROM STDIN DELIMITER AS '|',active,2015-10-06 11:39:32.30813-04
946684800,6774,10,pgxc,10.0.3.115,40906,2015-10-06 11:39:12.710715-04,2015-10-06 11:39:38.572548-04,2015-10-06 11:39:38.575092-04,f,Remote Subplan,active,2015-10-06 11:39:38.581171-04
946684800,6776,10,pgxc,10.0.3.116,56825,2015-10-06 11:39:15.870073-04,,2015-10-06 11:39:26.951966-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-10-06 11:39:26.980621-04
946684800,6777,10,pgxc,10.0.3.116,56832,2015-10-06 11:39:15.889574-04,2015-10-06 11:39:38.572548-04,2015-10-06 11:39:38.586226-04,f,Remote Subplan,active,2015-10-06 11:39:38.593805-04
946684800,6778,10,pgxc,127.0.0.1,35178,2015-10-06 11:39:15.891043-04,,2015-10-06 11:39:26.942354-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-10-06 11:39:26.981599-04
