# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl2;59;1444145546;eth0;425.83;415.98;1210.82;1128.39;0.00;0.00;0.00
pgxl2;59;1444145546;lo;335.19;335.19;1124.04;1124.04;0.00;0.00;0.00
pgxl2;59;1444145606;eth0;1507.64;1502.68;1873.76;1873.69;0.00;0.00;0.00
pgxl2;59;1444145606;lo;1437.66;1437.66;1850.04;1850.04;0.00;0.00;0.00
pgxl2;60;1444145666;eth0;272.11;271.86;394.40;393.01;0.00;0.00;0.00
pgxl2;60;1444145666;lo;276.47;276.47;390.86;390.86;0.00;0.00;0.00
pgxl2;59;1444145726;eth0;692.35;702.35;1705.06;1868.71;0.00;0.00;0.00
pgxl2;59;1444145726;lo;619.72;619.72;1909.18;1909.18;0.00;0.00;0.00
pgxl2;59;1444145786;eth0;590.97;595.33;1484.95;2056.59;0.00;0.00;0.00
pgxl2;59;1444145786;lo;391.22;391.22;1389.95;1389.95;0.00;0.00;0.00
pgxl2;59;1444145846;eth0;24.76;21.36;3.71;123.02;0.00;0.00;0.00
pgxl2;59;1444145846;lo;6.67;6.67;1.37;1.37;0.00;0.00;0.00
pgxl2;60;1444145906;eth0;83.61;83.41;13.66;11.41;0.00;0.00;0.00
pgxl2;60;1444145906;lo;87.13;87.13;11.12;11.12;0.00;0.00;0.00
