# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
pgxl;59;1444144639;9124500;7215344;44.16;0;7152828;10965520;23.17
pgxl;60;1444144699;10266056;6073788;37.17;0;6021976;10945032;23.13
pgxl;60;1444144759;11657112;4682732;28.66;0;4627576;11813568;24.96
pgxl;60;1444144819;12421428;3918416;23.98;0;3880400;11607480;24.53
pgxl;60;1444144879;12524800;3815044;23.35;0;3782632;11034380;23.31
pgxl;60;1444144939;13288828;3051016;18.67;0;3020404;12470856;26.35
pgxl;60;1444144999;12907088;3432756;21.01;0;3404892;11047980;23.34
pgxl;60;1444145059;12705056;3634788;22.24;0;3606720;11047980;23.34
pgxl;60;1444145119;12476896;3862948;23.64;0;3834812;11011780;23.27
pgxl;59;1444145179;14086324;2253520;13.79;0;2220056;11638992;24.59
pgxl;60;1444145239;15669240;670604;4.10;0;637940;16834508;35.57
pgxl;60;1444145299;16146748;193096;1.18;0;163120;16433876;34.72
pgxl;60;1444145359;16219112;120732;0.74;0;91884;14312500;30.24
pgxl;60;1444145419;16211864;127980;0.78;0;86152;13179896;27.85
