# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl;59;1444144639;eth0;107.64;192.13;9.19;1233.85;0.00;0.00;0.00
pgxl;59;1444144639;lo;41.51;41.51;6.86;6.86;0.00;0.00;0.00
pgxl;60;1444144699;eth0;1735.71;3173.43;114.53;18923.18;0.00;0.00;0.00
pgxl;60;1444144699;lo;17.96;17.96;3.33;3.33;0.00;0.00;0.00
pgxl;60;1444144759;eth0;1299.55;2988.42;85.05;17417.76;0.00;0.00;0.00
pgxl;60;1444144759;lo;16.56;16.56;2.87;2.87;0.00;0.00;0.00
pgxl;60;1444144819;eth0;1168.47;2557.80;76.43;15813.08;0.00;0.00;0.00
pgxl;60;1444144819;lo;13.70;13.70;2.56;2.56;0.00;0.00;0.00
pgxl;60;1444144879;eth0;1343.39;1592.75;89.91;13983.20;0.00;0.00;0.00
pgxl;60;1444144879;lo;11.92;11.92;2.27;2.27;0.00;0.00;0.00
pgxl;60;1444144939;eth0;2295.80;2719.00;148.88;25012.78;0.00;0.00;0.00
pgxl;60;1444144939;lo;12.12;12.12;2.13;2.13;0.00;0.00;0.00
pgxl;60;1444144999;eth0;1676.85;1973.31;109.76;18874.75;0.00;0.00;0.00
pgxl;60;1444144999;lo;8.95;8.95;1.79;1.79;0.00;0.00;0.00
pgxl;60;1444145059;eth0;2922.32;3586.87;189.21;31729.25;0.00;0.00;0.00
pgxl;60;1444145059;lo;7.11;7.11;1.46;1.46;0.00;0.00;0.00
pgxl;60;1444145119;eth0;2859.48;3463.86;185.18;30382.73;0.00;0.00;0.00
pgxl;60;1444145119;lo;7.05;7.05;1.45;1.45;0.00;0.00;0.00
pgxl;59;1444145179;eth0;2080.77;2531.14;135.04;21882.50;0.00;0.00;0.00
pgxl;59;1444145179;lo;12.54;12.54;2.27;2.27;0.00;0.00;0.00
pgxl;60;1444145239;eth0;3.80;4.47;1.20;0.49;0.00;0.00;0.00
pgxl;60;1444145239;lo;9.80;9.80;1.81;1.81;0.00;0.00;0.00
pgxl;60;1444145299;eth0;3.40;3.75;1.15;0.39;0.00;0.00;0.00
pgxl;60;1444145299;lo;8.22;8.22;1.72;1.72;0.00;0.00;0.00
pgxl;60;1444145359;eth0;3.37;3.72;1.14;0.39;0.00;0.00;0.00
pgxl;60;1444145359;lo;8.25;8.25;1.64;1.64;0.00;0.00;0.00
pgxl;60;1444145419;eth0;3.56;4.21;1.07;0.40;0.00;0.00;0.00
pgxl;60;1444145419;lo;8.21;8.21;1.65;1.65;0.00;0.00;0.00
