# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl1;59;1444145546;eth0;426.59;423.95;1225.63;1145.29;0.00;0.00;0.00
pgxl1;59;1444145546;lo;335.98;335.98;1135.34;1135.34;0.00;0.00;0.00
pgxl1;59;1444145606;eth0;1500.48;1504.77;1858.20;1858.03;0.00;0.00;0.00
pgxl1;59;1444145606;lo;1432.63;1432.63;1834.43;1834.43;0.00;0.00;0.00
pgxl1;60;1444145666;eth0;278.75;278.58;399.17;397.79;0.00;0.00;0.00
pgxl1;60;1444145666;lo;281.86;281.86;395.53;395.53;0.00;0.00;0.00
pgxl1;59;1444145726;eth0;699.59;688.73;1876.21;1712.85;0.00;0.00;0.00
pgxl1;59;1444145726;lo;517.55;517.55;1640.26;1640.26;0.00;0.00;0.00
pgxl1;59;1444145786;eth0;580.82;579.97;1452.20;2064.68;0.00;0.00;0.00
pgxl1;59;1444145786;lo;415.05;415.05;1514.30;1514.30;0.00;0.00;0.00
pgxl1;59;1444145846;eth0;36.19;31.64;4.72;206.39;0.00;0.00;0.00
pgxl1;59;1444145846;lo;6.65;6.65;1.35;1.35;0.00;0.00;0.00
pgxl1;60;1444145906;eth0;83.60;83.25;13.58;11.47;0.00;0.00;0.00
pgxl1;60;1444145906;lo;88.88;88.88;11.32;11.32;0.00;0.00;0.00
