# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
pgxl1;59;1444145546;60106.44;30532.14;12048.42;16.36;30457.47;16134.46;4339.93;19719.86;96.31
pgxl1;59;1444145606;62398.03;596.98;11748.26;29.34;20371.87;13805.96;1072.89;14290.67;96.05
pgxl1;60;1444145666;121412.85;2231.82;16490.70;9.70;46874.20;24308.62;11552.28;34857.72;97.20
pgxl1;59;1444145726;108222.46;24841.66;8052.50;28.22;41551.29;31107.22;1910.47;29453.27;89.20
pgxl1;59;1444145786;88311.34;1211.34;10131.60;179.41;27698.83;16251.87;1595.76;17022.83;95.38
pgxl1;59;1444145846;59797.23;1196.21;7766.36;137.14;20937.94;16647.04;1077.77;16800.08;94.78
pgxl1;60;1444145906;89261.55;1605.06;12046.19;27.21;32057.49;22072.51;2508.73;23362.33;95.04
